user_id,user_url,user_name,user_image_url
1,spotify:user:sonemic.com,sonemic.com,https://i.scdn.co/image/ab67757000003b82642ce4dbd1cab92bc267868f
2,spotify:user:earm28v0wpfycco58h1e64qi4,HuzgOnline,https://i.scdn.co/image/ab67757000003b8243ad9adbb38d891c9c34b214
3,spotify:user:13v0l2zagkat9thdoqngm8ki8,maja,https://i.scdn.co/image/ab67757000003b822630b0839d17ab28f6be5b99
4,spotify:user:nqm0cupkbep7amqd07yrz0xm1,aria,https://i.scdn.co/image/ab67757000003b827948f3a08da74b5adff251e2
5,spotify:user:homestar99,Eliott,https://i.scdn.co/image/ab67757000003b8233e21b088263fa0f21ac5f2b
6,spotify:user:02aj59ugjm84jmkqaimbjl2hb,gaurisha,https://i.scdn.co/image/ab67757000003b82bf61348dee9bcfd870474dab
7,spotify:user:gntab9tp1cc5qipthodlvvsm3,suchita,https://i.scdn.co/image/ab67757000003b829dc4867ae0babe8b2d882f5a
8,spotify:user:jaime33,Irles Music,https://i.scdn.co/image/ab67757000003b82cdbf4610bef6efb87adb4daf
9,spotify:user:miles_lamborgenie,Miles Lambert-Gilliam,https://i.scdn.co/image/ab67757000003b82656acdcdafa5afe6146ee695
10,spotify:user:topsify,Topsify,https://i.scdn.co/image/ab67757000003b82ad2b502872293bac301b8fd6
11,spotify:user:xbqlbum9p8gknixdovte1d15c,43giyotin,https://i.scdn.co/image/ab67757000003b82850b9f39868e881264d4ba7d
12,spotify:user:rex1hi2s1ay9q7hf3km0v9qab,ari,https://i.scdn.co/image/ab67757000003b826f579cb8be3d35c142d6dfcb
13,spotify:user:compton182,ARTV,https://i.scdn.co/image/ab67757000003b82c37f6298191d13be6ed2d158
14,spotify:user:12160373356,Ken Langelier,https://scontent-ord5-2.xx.fbcdn.net/v/t31.18172-1/271383_10150255226814398_3854314_o.jpg?stp=c4.4.49.49a_cp0_dst-jpg_p57x57&_nc_cat=107&ccb=1-7&_nc_sid=dbb9e7&_nc_ohc=ztHBP9n45t8AX8pz15V&_nc_ht=scontent-ord5-2.xx&edm=AP4hL3IEAAAA&oh=00_AfDYRqU_l4Nrc5CZjQZ3gsvc1k7OG2Dl6DW0wzxswKzlEA&oe=648CC622
15,spotify:user:blbtthk7vp3avrm1hb49felpw,madeline,https://i.scdn.co/image/ab67757000003b82942f1920d42aa4c5df176de4
16,spotify:user:7gfbk6gycdiwjkkiskp0qb9vr,Naweli,https://i.scdn.co/image/ab67757000003b82554c42f22c07bb538d92c2d7
17,spotify:user:317tlgytpahfztbtfox62bxx2qrq,Reyn,https://i.scdn.co/image/ab67757000003b82e83d0e2f6ce0fb365982bf93
18,spotify:user:31hmpw5iwcb6zcgqtcmq34peoakm,JI$HNU,https://i.scdn.co/image/ab67757000003b82d3bda477ce28d80d6a2f91c2
19,spotify:user:g1zsw3i9w800pkcm8tz2qvr0c,owen,https://i.scdn.co/image/ab67757000003b8246b582bab53d88725f116b76
20,spotify:user:i84lu88muakwi7a27i3gq56my,snails,https://i.scdn.co/image/ab67757000003b82ca50298e32acf7af821f66e7
21,spotify:user:tramai,tramai,
