track_name,track_id,track_duration,track_popularity,track_explicit,album_name,album_id,album_release_date,album_release_date_precision,album_total_tracks,album_type,artist_name,artist_id,played_at
anything,4PwWESSlTwzvw9B7bmtTLS,202047,58,False,songs,2Qt8Z1LB3Fsrf6nhBNsvUJ,2020-10-23,day,11,album,Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY,2023-03-12T07:54:04.896Z
Simulation Swarm,2FwDApgXk91kXvqy2oB7dz,252733,62,False,Dragon New Warm Mountain I Believe In You,7Ln81p86r5cCsesd3KBWIY,2022-02-11,day,20,album,Big Thief,5QdyldG4Fl4TPiOIeMNpBZ,2023-03-12T07:58:18.616Z
Map,2quALV4FWOVawNuf8SEHl1,300693,33,False,"The Glow, Pt. 2",6QYoRO2sXThCORAifrP4Bl,2001-09-11,day,20,album,The Microphones,7Ht57YadlBXcFJDK3plmhO,2023-03-12T08:03:19.416Z
Song Against Sex,2eBKmAwu3E80Fx8XmJJfKZ,221426,30,True,On Avery Island,1r4wYf0rQKB2sVdHkNPBnI,1996-01-01,day,14,album,Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,2023-03-12T08:07:01.181Z
ghost,3nfosq8fXaM506M6L52kjI,321893,29,False,光の中に,38ynpfIMWM4ZM4u77tdWjR,2019-05-29,day,13,album,踊ってばかりの国,0FA31wmImS3Px3LyRxtiS2,2023-03-12T08:12:23.697Z
Sea of Dreams,4VlJbvK8wQFuIvAdMNw1Qu,283003,41,False,Chronovision,4TAmYdA51CgKukT5moHIMh,2015-10-09,day,12,album,Oberhofer,5zb7wVUx1vTXLB6HX26EnX,2023-03-12T08:17:07.636Z
Messenger,6cAbIQ5tachruXGBnXNuQ1,201826,34,False,Misery Is a Butterfly,2IOkphZwsrRk1nWRkikEgK,2004-03-15,day,11,album,Blonde Redhead,5isqImG0rLfAgBJSPMEVXF,2023-03-12T08:20:29.741Z
Wandering 流浪,4XohDrRx2g5CzH9DSWQOPD,114000,30,False,Hurtbreak Wonderland,7KtBhRWitpnHoma8UWiDgz,2007-03-23,day,10,album,World's End Girlfriend,3lqgWxgqJb19h62n19FKQp,2023-03-12T08:22:23.879Z
Two-Headed Boy,27AG99NmWMFLRoyZMMPNW2,266106,52,False,In the Aeroplane Over the Sea,0vVekV45lOaVKs6RZQQNob,1998-02-20,day,11,album,Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,2023-03-12T08:26:51.029Z
Human Sadness,3YB9cvd668HXBEq8rbBW8P,656901,49,True,Tyranny,5LlMvH379KZHgRIL5BrTOg,2014-09-23,day,12,album,The Voidz,4nUBBtLtzqZGpdiynTJbYJ,2023-03-12T08:37:48.102Z
Little Birds - Live [2014],337ozPp0qC9WVOtqeA6vW0,373975,38,False,Little Birds,6W06B6AqeuOXBAIKGqbGHT,2023-01-10,day,2,single,Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,2023-03-12T08:44:02.612Z
Long Lost,3UogKIjMzKOTRN1VyuBZFP,284687,45,False,Long Lost,5gEBQoKHOrgTXRLYMUKCly,2021-04-16,day,3,single,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,2023-03-12T08:48:47.820Z
Pleaser,11zf7m4vw9Ze7cer9Nyhk1,187895,66,False,Pleaser,3XwLvPyeeyTjFKeBdtC978,2017-04-12,day,1,single,Wallows,0NIPkIjTV8mB795yEIiPYL,2023-03-12T08:51:56.577Z
Nonphenomenal Lineage,6IMFaGBruL0Jm3MNptbTqO,191426,29,False,Under The Western Freeway,57FtCFNPyiqlltBLhFGDYi,1997-10-21,day,11,album,Grandaddy,3W4xM5XYtUp4ifYYPVKVdk,2023-03-12T08:55:08.208Z
Good Song,75WFyYrXPMAWyN6jOBB7IC,187680,52,False,Think Tank (Special Edition),68P7oIUK327pt5tDIZJd63,2003,year,27,album,Blur,7MhMgCo0Bl0Kukl93PZbYS,2023-03-12T08:58:16.564Z
Ode To The Mets,1BLOVHYYlH4JUHQGcpt75R,351786,64,False,The New Abnormal,2xkZV2Hl1Omi8rk2D7t5lN,2020-04-10,day,9,album,The Strokes,0epOFNiUfyON9EYx7Tpr6V,2023-03-12T09:04:08.597Z
Zanzo no Sketch,56GQ7rDihrWw8sNWvi8daO,259452,33,False,Yume,0snrpSOntTb03Sd8XDPn78,2014-02-05,day,10,album,Lamp,0rFHElzeddB9ymDjgpBENX,2023-03-12T09:08:28.387Z
Battery Kinzie,64rUORJh4zikFaieRu9xVq,169000,38,False,Helplessness Blues,7D0rCfJjFj9x0bdgRKtvzb,2011-05-03,day,12,album,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,2023-03-12T09:11:17.740Z
I Shall Love 2,4VxGlr9PawFDaThx20USnS,318546,22,False,Aviary,6icpwcJQWK4nq9Xilk4yRu,2018-10-26,day,15,album,Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,2023-03-12T09:16:37.275Z
I'm So Tired,6JgHKt0WwdwlXIht6M0mqa,118933,62,False,Instrument Soundtrack,1owNOVlXTqmDVo4M2Z20uk,1999-04-01,day,18,album,Fugazi,62sC6lUEWRjbFqXpMmOk4G,2023-03-12T09:18:36.842Z
Bodys,1Pbs2eCcX9p2onaAvMYvhk,406934,55,False,Twin Fantasy,6gDtROOIYa6OQxwhDNkDRM,2018-02-16,day,10,album,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,2023-03-12T09:25:23.937Z
Pangaea Girls (Magic Feeling),49DmTlbizOa1VTQRqVAuWJ,191491,46,False,Ceres & Calypso in the Deep Time,5KkGAZrad4N4rc5FriwgzU,2013-06-25,day,12,album,Candy Claws,34Xay0uKsALHCrn5LkrYeh,2023-03-12T09:28:36.070Z
Kiss Off,5fj76kVAnqRKKhAw5d06jj,176720,54,False,Violent Femmes,0Ojio25IPzIrw1rUmgrhrG,1983-01-01,day,12,album,Violent Femmes,0rpMdBzQXf7aYRnu5fDBJy,2023-03-12T09:31:33.526Z
The Plains / Bitter Dancer,5Z45r13JrsFiOb6MJFnpKi,353906,34,False,Helplessness Blues,7D0rCfJjFj9x0bdgRKtvzb,2011-05-03,day,12,album,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,2023-03-12T09:37:27.834Z
Hidden Place,4c6LgotpKGB791EsNeu9gr,329360,44,False,Vespertine,4u3MPfHM60rFFULJebZIay,2001-08-27,day,12,album,Björk,7w29UYBi0qsHi5RTcv3lmA,2023-03-12T09:42:57.063Z
Please Do Not Go,4sxVoAf7uvxCSgTCRNDohP,255400,44,False,Violent Femmes,0Ojio25IPzIrw1rUmgrhrG,1983-01-01,day,12,album,Violent Femmes,0rpMdBzQXf7aYRnu5fDBJy,2023-03-12T09:47:13.271Z
Selfless,2t0wwvR15fc3K1ey8OiOaN,222093,68,False,The New Abnormal,2xkZV2Hl1Omi8rk2D7t5lN,2020-04-10,day,9,album,The Strokes,0epOFNiUfyON9EYx7Tpr6V,2023-03-12T10:08:22.758Z
It's Coming It's Real,6mDD8dnYp25mRbupOPBLL6,462162,23,False,leaving meaning.,6tfSlxSuQb6CWNncrO07wn,2019-10-25,day,12,album,Swans,79S80ZWgVhIPMCHuvl6SkA,2023-03-12T15:14:54.344Z
It's Coming It's Real,6mDD8dnYp25mRbupOPBLL6,462162,23,False,leaving meaning.,6tfSlxSuQb6CWNncrO07wn,2019-10-25,day,12,album,Swans,79S80ZWgVhIPMCHuvl6SkA,2023-03-12T15:22:37.717Z
It's Coming It's Real,6mDD8dnYp25mRbupOPBLL6,462162,23,False,leaving meaning.,6tfSlxSuQb6CWNncrO07wn,2019-10-25,day,12,album,Swans,79S80ZWgVhIPMCHuvl6SkA,2023-03-12T15:31:37.081Z
